,,,,X,X,X,X,X,X,X,Y,Y,Y,,,
Sr.,Reference,Gypsum Class,ID in Ref.,Gypsum Strength,Gypsum ,Water,W/G,Wheat Straw,CaCl2,Ca(OH)2,Density,Flexure Strength,Compressive Strength,Flexure Strength,Compressive Strength,Total Samples
,,,,(MPa),(g),(g),-,(g),5%,5%,kg/m3,(MPa),(MPa),(MPa),(MPa),
1,Physico-Mechanical Characterization of Gypsum-Agricultural Waste Composites for Developing Eco-Friendly False Ceiling Tiles (https://doi.org/10.3390/su14169797),I,Reference,6.1,1000,550,0.55,0,0,0,1320.3,3.913,5.567,3.77,6.1,1
,,,,6.1,1000,550,0.55,0,0,0,1242.2,3.786,6.787,,,2
,,,,6.1,1000,550,0.55,0,0,0,1226.6,3.623,5.953,,,3
,,,WS2.5,6.1,975,536,0.55,25,0,0,1199.2,2.738,3.164,2.68,3.55,4
,,,,6.1,975,536,0.55,25,0,0,1269.5,2.896,3.587,,,5
,,,,6.1,975,536,0.55,25,0,0,1210.9,2.404,3.719,,,6
,,,,6.1,975,536,0.55,25,0,0,,,3.74,,,7
,,,WS5,6.1,950,523,0.55,50,0,0,1210.9,2.867,3.397,2.48,3.31,8
,,,,6.1,950,523,0.55,50,0,0,1199.2,2.279,3.587,,,9
,,,,6.1,950,523,0.55,50,0,0,1234.4,2.301,3.09,,,10
,,,,6.1,950,523,0.55,50,0,0,,,3.164,,,11
,,,WS7.5,6.1,925,509,0.55,75,0,0,1210.9,2.839,3.397,2.56,3.43,12
,,,,6.1,925,509,0.55,75,0,0,1203.1,2.494,3.624,,,13
,,,,6.1,925,509,0.55,75,0,0,1218.8,2.344,3.317,,,14
,,,,6.1,925,509,0.55,75,0,0,,,3.397,,,15
,,,WS10,6.1,900,720,0.8,100,0,0,906.3,0.94,1.373,0.81,1.33,16
,,,,6.1,900,720,0.8,100,0,0,968.8,0.722,1.3,,,17
,,,,6.1,900,720,0.8,100,0,0,820.3,0.777,1.3,,,18
,,,,6.1,900,720,0.8,100,0,0,,,1.337,,,19
2,Research of Mechanical and Thermal Properties of Composite Material Based on Gypsum and Straw (https://doi.org/10.32604/jrm.2022.018908),I,1-i,2,1000,750,0.75,0,0,0,1434,3.23,11.23,3.55,9.23,20
,,,1-ii,2,1000,750,0.75,0,0,0,1434,3.87,10.1,,,21
,,,1-iii,2,1000,750,0.75,0,0,0,1434,3.19,8.36,,,22
,,,1-iv,2,1000,750,0.75,0,0,0,1434,3.91,7.23,,,23
,,,2-i,2,975,730,0.748717949,25,0,0,1142,2.41,6.17,2.61,5.87,24
,,,2-ii,2,975,730,0.748717949,25,0,0,1142,2.61,5.91,,,25
,,,2-iii,2,975,730,0.748717949,25,0,0,1142,2.81,5.53,,,26
,,,3-i,2,950,760,0.8,50,0,0,1111,1.99,3.29,2.09,3.09,27
,,,3-ii,2,950,760,0.8,50,0,0,1111,2.09,3.23,,,28
,,,3-iii,2,950,760,0.8,50,0,0,1111,2.19,2.75,,,29
,,II,1-i,5,1000,750,0.75,0,0,0,1314,4.94,23.57,5.74,22.52,30
,,,1-ii,5,1000,750,0.75,0,0,0,1314,4.93,20.72,,,31
,,,1-iii,5,1000,750,0.75,0,0,0,1314,6.55,21.47,,,32
,,,1-iv,5,1000,750,0.75,0,0,0,1314,6.54,24.32,,,33
,,,2-i,5,975,730,0.748717949,25,0,0,1165,3.85,8.25,4.15,9.25,34
,,,2-ii,5,975,730,0.748717949,25,0,0,1165,4.45,10.25,,,35
,,,2-iii,5,975,730,0.748717949,25,0,0,1165,3.9,8.45,,,36
,,,2-iv,5,975,730,0.748717949,25,0,0,1165,4.4,10.05,,,37
,,,2-v,5,975,730,0.748717949,25,0,0,1165,3.78,8.17,,,38
,,,2-vi,5,975,730,0.748717949,25,0,0,1165,4.52,10.33,,,39
,,,3-i,5,950,760,0.8,50,0,0,971,2.28,4.47,2.5,4.77,40
,,,3-ii,5,950,760,0.8,50,0,0,971,2.72,5.07,,,41
,,,3-iii,5,950,760,0.8,50,0,0,971,2.29,4.57,,,42
,,,3-iv,5,950,760,0.8,50,0,0,971,2.71,4.97,,,43
,,,3-v,5,950,760,0.8,50,0,0,971,2.3,4.65,,,44
,,,3-vi,5,950,760,0.8,50,0,0,971,2.7,4.89,,,45
,,III,1-i,16,1000,750,0.75,0,0,0,1674,7.11,41.62,7.38,39.98,46
,,,1-ii,16,1000,750,0.75,0,0,0,1674,7.19,39.72,,,47
,,,1-iii,16,1000,750,0.75,0,0,0,1674,7.57,38.82,,,48
,,,1-iv,16,1000,750,0.75,0,0,0,1674,7.65,39.74,,,49
,,,2-i,16,975,730,0.748717949,25,0,0,1388,5.21,16.15,5.51,14.99,50
,,,2-ii,16,975,730,0.748717949,25,0,0,1388,5.31,14.93,,,51
,,,2-iii,16,975,730,0.748717949,25,0,0,1388,5.39,15.81,,,52
,,,2-iv,16,975,730,0.748717949,25,0,0,1388,5.63,14.05,,,53
,,,2-v,16,975,730,0.748717949,25,0,0,1388,5.71,14.05,,,54
,,,2-vi,16,975,730,0.748717949,25,0,0,1388,5.81,14.97,,,55
,,,3-i,16,950,760,0.8,50,0,0,1235,3.71,9.1,3.93,8,56
,,,3-ii,16,950,760,0.8,50,0,0,1235,3.73,7.84,,,57
,,,3-iii,16,950,760,0.8,50,0,0,1235,3.83,8.6,,,58
,,,3-iv,16,950,760,0.8,50,0,0,1235,4.03,7.1,,,59
,,,3-v,16,950,760,0.8,50,0,0,1235,4.13,7.1,,,60
,,,3-vi,16,950,760,0.8,50,0,0,1235,4.15,8.26,,,61
3,Analysis of the influence of wheat residues on gypsum composites (https://doi.org/10.1007/s41062-022-01007-3),I,T1,10.24,1000,600,0.6,0,0,0,1520,3.64,10.24,1.98,5.37,62
,,,T2,10.24,975,600,0.6,25,0,0,1450,2.46,5.693,,,63
,,,T3,10.24,950,600,0.6,50,0,0,1300,1.26,3.765,,,64
,,,T4,10.24,925,600,0.6,75,0,0,1310,1.26,3.811,,,65
,,,T5,10.24,900,600,0.6,100,0,0,1190,1.26,3.352,,,66
4,Application analysis and environmental impact of straw reinforced gypsum plaster for improving the energy efficiency in buildings in the six climate zones of Morocco (https://doi.org/10.1016/j.jobe.2023.106829),I,PS0,7.18,1000,600,0.6,0,0,0,1400,,7.18,#DIV/0!,4.26,67
,,,PS1,7.18,990,600,0.6,10,0,0,1350,,5,,,68
,,,PS2,7.18,980,600,0.6,20,0,0,1299,,3.18,,,69
,,,PS3,7.18,970,600,0.6,30,0,0,1233,,3.03,,,70
,,,PS4,7.18,960,600,0.6,40,0,0,1199,,2.89,,,71
5,Properties of Gypsum Composites with Straw Fillers (10.1088/1757-899X/585/1/012105),I,1,3,980,784,0.8,20,5,0,956,1,1.4,1.003555556,0.996,72
,,,2,3,980,784,0.8,20,5,0,954,1.21,1.5,,,73
,,,3,3,980,784,0.8,20,5,0,964,1.26,1.5,,,74
,,,4,3,970,776,0.8,30,5,0,954,1.31,1.7,,,75
,,,5,3,970,776,0.8,30,5,0,958,1.25,1.8,,,76
,,,6,3,970,776,0.8,30,5,0,954,1.45,1.7,,,77
,,,7,3,960,768,0.8,40,5,0,950,1.38,1.6,,,78
,,,8,3,960,768,0.8,40,5,0,942,1.48,1.7,,,79
,,,9,3,960,768,0.8,40,5,0,970,1.6,1.7,,,80
,,,10,3,950,760,0.8,50,5,0,908,1.27,1.4,,,81
,,,11,3,950,760,0.8,50,5,0,894,1.39,1,,,82
,,,12,3,950,760,0.8,50,5,0,920,1.75,1.8,,,83
,,,13,3,940,752,0.8,60,5,0,899,1.65,1.9,,,84
,,,14,3,940,752,0.8,60,5,0,903,1.48,1.4,,,85
,,,15,3,940,752,0.8,60,5,0,908,1.99,1.8,,,86
,,,16,3,980,882,0.9,20,5,0,862,0.49,0.6,,,87
,,,17,3,980,882,0.9,20,5,0,883,0.78,0.8,,,88
,,,18,3,980,882,0.9,20,5,0,860,0.67,0.5,,,89
,,,19,3,970,873,0.9,30,5,0,842,0.54,0.5,,,90
,,,20,3,970,873,0.9,30,5,0,857,0.7,0.6,,,91
,,,21,3,970,873,0.9,30,5,0,841,0.77,0.6,,,92
,,,22,3,960,864,0.9,40,5,0,877,0.76,1,,,93
,,,23,3,960,864,0.9,40,5,0,868,1.05,0.8,,,94
,,,24,3,960,864,0.9,40,5,0,890,1.21,1,,,95
,,,25,3,950,855,0.9,50,5,0,906,0.92,1,,,96
,,,26,3,950,855,0.9,50,5,0,869,0.98,1.1,,,97
,,,27,3,950,855,0.9,50,5,0,881,1.17,0.9,,,98
,,,28,3,940,846,0.9,60,5,0,864,0.92,1,,,99
,,,29,3,940,846,0.9,60,5,0,854,1.09,1,,,100
,,,30,3,940,846,0.9,60,5,0,872,1.09,1,,,101
,,,31,3,980,980,1,20,5,0,775,0.49,0.6,,,102
,,,32,3,980,980,1,20,5,0,797,0.49,0.4,,,103
,,,33,3,980,980,1,20,5,0,747,0.49,0.4,,,104
,,,34,3,970,970,1,30,5,0,814,0.49,0.8,,,105
,,,35,3,970,970,1,30,5,0,832,0.49,0.5,,,106
,,,36,3,970,970,1,30,5,0,802,0.73,0.4,,,107
,,,37,3,960,960,1,40,5,0,836,0.75,0.6,,,108
,,,38,3,960,960,1,40,5,0,829,0.78,0.5,,,109
,,,39,3,960,960,1,40,5,0,802,0.74,0.5,,,110
,,,40,3,950,950,1,50,5,0,792,0.68,0.6,,,111
,,,41,3,950,950,1,50,5,0,797,0.49,0.6,,,112
,,,42,3,950,950,1,50,5,0,777,0.91,0.5,,,113
,,,43,3,940,940,1,60,5,0,778,0.69,0.5,,,114
,,,44,3,940,940,1,60,5,0,816,0.93,0.8,,,115
,,,45,3,940,940,1,60,5,0,785,1.4,0.8,,,116
,,,1,3,980,784,0.8,20,0,5,984,1.78,3.9,1.215555556,2.08,117
